station,dist_m,t_hr,conc_est,foco,rho,p,conc_foco_ppb
SE,31186.490020865796,,,Refinería Cadereyta,,,
NE,35464.931128354656,,,Refinería Cadereyta,,,
CE,40668.09551565133,,,Refinería Cadereyta,,,
NO,46762.29253381958,,,Refinería Cadereyta,,,
SO,52398.68945288901,,,Refinería Cadereyta,,,
NO2,68312.88070010755,,,Refinería Cadereyta,,,
NTE,44899.056914626424,,,Refinería Cadereyta,,,
NTE2,39858.41129712729,,,Refinería Cadereyta,,,
NE2,32173.726416153102,,,Refinería Cadereyta,,,
SO2,47724.15650995374,,,Refinería Cadereyta,,,
SUR,33196.92652051992,,,Refinería Cadereyta,,,
NE3,26137.34241628808,,,Refinería Cadereyta,,,
NO3,55735.243018296,,,Refinería Cadereyta,,,
SE2,16408.099158080917,,,Refinería Cadereyta,,,
SE3,5667.278855073283,,,Refinería Cadereyta,,,
SE,12734.538738400473,,,Zinc Nacional,,,
NE,6934.168967666561,,,Zinc Nacional,,,
CE,9082.183590685838,,,Zinc Nacional,,,
NO,4867.439220384198,,,Zinc Nacional,,,
SO,16376.869955774315,,,Zinc Nacional,,,
NO2,26819.21314075957,,,Zinc Nacional,,,
NTE,4773.7981252594955,,,Zinc Nacional,,,
NTE2,3130.978919786243,,,Zinc Nacional,,,
NE2,13534.059667444757,,,Zinc Nacional,,,
SO2,13665.1342804997,,,Zinc Nacional,,,
SUR,16174.2904820752,,,Zinc Nacional,,,
NE3,24614.75827825026,,,Zinc Nacional,,,
NO3,14332.465290993032,,,Zinc Nacional,,,
SE2,25734.87408455618,,,Zinc Nacional,,,
SE3,36576.73563936213,,,Zinc Nacional,,,
