estacion,poblacion_2km,cluster,silhouette
NTE,102429,1,0.5367884739710003
NE,105412,1,0.6178029662211696
NO,129539,1,0.5701089054083534
NE3,8891,2,0.7114409888807359
NO3,14672,2,0.8034867072794137
NE2,16510,2,0.7870009737098344
SE3,21053,2,0.556882089867368
SUR,57242,3,0.15633633208188713
SE,68557,3,0.7546674703858959
SE2,68913,3,0.7604502574305047
SO,71818,3,0.7595412990538545
NO2,83200,3,0.43378332194121666
CE,34246,4,0.6699095678768224
SO2,40465,4,0.874898246867989
NTE2,40547,4,0.8736815024440443
