station,lat,lon,elev_m,distance_km,delta_elev_m,poblacion_2km
SE3,25.601111,-99.999167,334,5.6673,-26,21053
SE2,25.645833,-100.095278,387,16.4081,27,68913
NE3,25.790556,-100.078333,346,26.1374,-14,8891
SE,25.665278,-100.243611,500,31.1865,140,68557
NE2,25.777222,-100.188056,432,32.1738,72,16510
SUR,25.616944,-100.273889,555,33.197,195,57242
NE,25.744722,-100.253056,474,35.465,114,105412
NTE2,25.729722,-100.31,520,39.8585,160,40547
CE,25.675833,-100.338333,562,40.6682,202,34246
NTE,25.798611,-100.327222,503,44.8991,143,102429
NO,25.762778,-100.369167,568,46.7624,208,129539
SO2,25.665,-100.412778,636,47.7242,276,40465
SO,25.675556,-100.458056,674,52.3988,314,71818
NO3,25.768333,-100.463611,607,55.7353,247,14672
NO2,25.800278,-100.584444,702,68.313,342,83200
